total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
512,0.000,0.000,512,0.000,0.000,modp.py:44(__ne__)
1533,0.000,0.000,1533,0.000,0.000,{method 'isupper' of 'str' objects}
560,0.000,0.000,560,0.000,0.000,field_elements.py:218(<genexpr>)
2,0.000,0.000,2,0.000,0.000,unicode.py:63(<listcomp>)
11,0.000,0.000,11,0.000,0.000,enum.py:222(<setcomp>)
44,0.000,0.000,44,0.000,0.000,<frozen importlib._bootstrap_external>:1494(__init__)
2,0.000,0.000,2,0.000,0.000,_signatures.py:1(<module>)
480,0.000,0.000,480,0.013,0.000,polynomial.py:152(<lambda>)
835,0.000,0.000,835,0.000,0.000,{built-in method from_bytes}
79,0.000,0.000,79,0.000,0.000,enum.py:986(__and__)
312,0.000,0.000,312,0.005,0.000,inspect.py:2997(from_callable)
936,0.000,0.000,936,0.000,0.000,version.py:336(post)
314,0.000,0.000,314,0.000,0.000,function_base.py:443(_needs_add_docstring)
624,0.000,0.000,624,0.000,0.000,inspect.py:277(isfunction)
100,0.000,0.000,74,0.000,0.000,sre_compile.py:485(_get_literal_prefix)
95,0.000,0.000,95,0.002,0.000,__init__.py:1427(get_metadata)
614,0.000,0.000,614,0.000,0.000,_inspect.py:41(iscode)
420,0.000,0.000,339,0.000,0.000,typing.py:1037(__hash__)
1,0.000,0.000,1,5.694,5.694,babysnark.py:1(<module>)
618,0.000,0.000,618,0.000,0.000,_inspect.py:26(isfunction)
549,0.000,0.000,549,0.000,0.000,polynomial.py:57(__abs__)
348,0.000,0.000,348,0.013,0.000,numbertype.py:67(__rmul__)
583,0.000,0.000,583,0.007,0.000,_signatures.py:668(<genexpr>)
549,0.000,0.000,549,0.000,0.000,polynomial.py:65(degree)
12,0.000,0.000,12,0.002,0.000,optimized_field_elements.py:340(optimized_poly_rounded_div)
1618,0.000,0.000,1618,0.000,0.000,__init__.py:2128(__bool__)
928,0.000,0.000,928,0.000,0.000,version.py:326(release)
95,0.000,0.000,95,0.000,0.000,{built-in method posix.getcwd}
237,0.000,0.000,237,0.001,0.000,babysnark.py:106(random_fp)
13,0.000,0.000,13,0.000,0.000,{built-in method builtins.print}
930,0.000,0.000,930,0.000,0.000,version.py:331(pre)
763,0.000,0.000,763,0.000,0.000,typing.py:1022(<genexpr>)
312,0.000,0.000,312,0.005,0.000,_signatures.py:618(signature_or_spec)
314,0.000,0.000,314,0.000,0.000,function_base.py:461(_add_docstring)
58,0.000,0.000,9,0.002,0.000,core.py:3635(leave_whitespace)
212,0.000,0.000,212,0.001,0.000,{built-in method builtins.repr}
44,0.000,0.000,44,0.001,0.000,<frozen importlib._bootstrap_external>:1587(_fill_cache)
314,0.000,0.000,314,0.000,0.000,{method 'replace' of 'code' objects}
79,0.000,0.000,79,0.008,0.000,sre_compile.py:622(_code)
56,0.000,0.000,56,0.001,0.000,typing.py:1138(__getitem__)
143,0.000,0.000,143,0.000,0.000,results.py:136(__new__)
340,0.000,0.000,340,0.000,0.000,optimized_field_elements.py:390(__ne__)
444,0.000,0.000,444,0.000,0.000,copyreg.py:100(__newobj__)
95,0.000,0.000,95,0.003,0.000,__init__.py:1440(get_metadata_lines)
95,0.000,0.000,95,0.001,0.000,__init__.py:1634(_get)
337,0.000,0.000,337,0.000,0.000,<frozen importlib._bootstrap>:826(find_spec)
46,0.000,0.000,46,0.000,0.000,_inspect.py:140(formatargspec)
16,0.000,0.000,16,0.004,0.000,polynomial.py:153(<listcomp>)
44,0.000,0.000,44,0.011,0.000,<frozen importlib._bootstrap_external>:1174(create_module)
928,0.000,0.000,928,0.000,0.000,version.py:340(dev)
350,0.000,0.000,350,0.000,0.000,<frozen importlib._bootstrap>:165(__init__)
246,0.000,0.000,246,0.000,0.000,{built-in method builtins.all}
403,0.000,0.000,403,0.000,0.000,sre_parse.py:169(__setitem__)
573,0.000,0.000,573,0.000,0.000,typing.py:1031(__eq__)
14,0.000,0.000,13,0.000,0.000,posixpath.py:400(_joinrealpath)
459,0.000,0.000,459,0.000,0.000,sre_parse.py:82(groups)
498,0.000,0.000,87,0.001,0.000,core.py:1862(__str__)
6,0.000,0.000,6,0.001,0.000,getlimits.py:34(__init__)
68,0.000,0.000,68,0.000,0.000,core.py:2315(__init__)
349,0.000,0.000,349,0.000,0.000,functools.py:65(wraps)
252,0.000,0.000,252,0.000,0.000,__init__.py:2572(is_version_line)
713,0.000,0.000,520,0.000,0.000,{built-in method builtins.hash}
43,0.000,0.000,43,0.001,0.000,<frozen importlib._bootstrap_external>:1343(_path_hooks)
57,0.000,0.000,57,0.000,0.000,sre_parse.py:268(getuntil)
122,0.000,0.000,61,0.002,0.000,core.py:3722(copy)
312,0.000,0.000,312,0.000,0.000,inspect.py:632(_is_wrapper)
115,0.000,0.000,115,0.001,0.000,abc.py:105(__new__)
84,0.000,0.000,84,0.006,0.000,__init__.py:2998(_reload_version)
45,0.000,0.000,45,0.001,0.000,typing.py:1223(__getitem__)
916,0.000,0.000,916,0.000,0.000,{method 'isidentifier' of 'str' objects}
405,0.000,0.000,405,0.000,0.000,__init__.py:930(_added_new)
29,0.000,0.000,29,0.000,0.000,posixpath.py:337(normpath)
47,0.000,0.000,47,0.000,0.000,sre_compile.py:435(_mk_bitmap)
101,0.000,0.000,101,0.001,0.000,typing.py:1147(copy_with)
13,0.000,0.000,13,0.001,0.000,optimized_curve.py:64(is_on_curve)
73,0.000,0.000,73,0.000,0.000,{built-in method posix.lstat}
98,0.000,0.000,98,0.001,0.000,functools.py:884(wrapper)
79,0.000,0.000,79,0.000,0.000,sre_parse.py:225(__init__)
1140,0.000,0.000,1140,0.000,0.000,{built-in method builtins.callable}
307,0.000,0.000,307,0.000,0.000,core.py:4148(<genexpr>)
2,0.000,0.000,2,0.001,0.000,function_base.py:1(<module>)
7,0.000,0.000,4,0.001,0.000,core.py:4779(parseImpl)
365,0.000,0.000,365,0.000,0.000,socket.py:88(<lambda>)
1,0.000,0.000,1,0.138,0.138,__init__.py:3259(_initialize_master_working_set)
9,0.000,0.000,9,0.000,0.000,polynomial.py:125(__call__)
363,0.000,0.000,363,0.000,0.000,socket.py:78(<lambda>)
279,0.000,0.000,279,0.001,0.000,typing.py:515(<genexpr>)
36,0.000,0.000,36,0.000,0.000,core.py:5368(__init__)
85,0.000,0.000,85,0.000,0.000,typing.py:253(_deduplicate)
364,0.000,0.000,364,0.000,0.000,socket.py:83(<lambda>)
79,0.000,0.000,79,0.000,0.000,{built-in method _sre.compile}
314,0.000,0.000,314,0.000,0.000,overrides.py:128(array_function_dispatch)
366,0.000,0.000,366,0.000,0.000,socket.py:93(<lambda>)
122,0.000,0.000,61,0.001,0.000,core.py:3724(<listcomp>)
1,0.000,0.000,1,0.000,0.000,arrayprint.py:1(<module>)
995,0.000,0.000,995,0.000,0.000,inspect.py:2698(kind)
16,0.000,0.000,16,0.001,0.000,polynomial.py:154(<listcomp>)
339,0.000,0.000,339,0.000,0.000,<frozen importlib._bootstrap>:746(find_spec)
33,0.000,0.000,4,0.007,0.002,core.py:3861(parseImpl)
143,0.000,0.000,143,0.000,0.000,enum.py:44(_is_private)
337,0.000,0.000,337,0.000,0.000,{built-in method _imp.is_frozen}
335,0.000,0.000,335,0.000,0.000,__init__.py:3151(_always_object)
42,0.000,0.000,38,0.001,0.000,core.py:3903(_generateDefaultName)
5,0.000,0.000,5,1.864,0.373,optimized_pairing.py:151(pairing)
79,0.000,0.000,79,0.001,0.000,core.py:1352(__add__)
487,0.000,0.000,487,0.000,0.000,{method 'strip' of 'str' objects}
59,0.000,0.000,59,0.000,0.000,sre_compile.py:516(_get_charset_prefix)
267,0.000,0.000,267,0.000,0.000,__init__.py:526(_nonblank)
23,0.000,0.000,23,0.000,0.000,field_elements.py:248(<listcomp>)
760,0.000,0.000,760,0.000,0.000,__init__.py:2614(_reload_version)
392,0.000,0.000,392,0.000,0.000,core.py:3614(<genexpr>)
1,0.000,0.000,1,0.000,0.000,operator.py:16(<dictcomp>)
98,0.000,0.000,98,0.001,0.000,__init__.py:549(_)
52,0.000,0.000,52,0.000,0.000,core.py:887(__init__)
339,0.000,0.000,339,0.000,0.000,{built-in method numpy.core._multiarray_umath.add_docstring}
356,0.000,0.000,356,0.000,0.000,{method 'pop' of 'dict' objects}
764,0.000,0.000,764,0.000,0.000,bn128_curve.py:55(is_inf)
636,0.000,0.000,636,0.000,0.000,{built-in method builtins.issubclass}
1,0.000,0.000,1,0.000,0.000,_polybase.py:18(ABCPolyBase)
240,0.000,0.000,240,0.000,0.000,modp.py:29(__sub__)
1,0.000,0.000,1,0.010,0.010,multiarray.py:1(<module>)
68,0.000,0.000,68,0.001,0.000,typing.py:1194(__getitem__)
767,0.000,0.000,767,0.000,0.000,bls12_381_curve.py:58(is_inf)
8,0.000,0.000,8,0.001,0.000,enum.py:483(_create_)
45,0.000,0.000,6,0.002,0.000,core.py:4092(streamline)
766,0.000,0.000,766,0.000,0.000,{built-in method builtins.id}
1,0.000,0.000,1,0.002,0.002,socket.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,getlimits.py:158(_register_known_types)
904,0.000,0.000,904,0.000,0.000,{method 'lstrip' of 'str' objects}
1,0.000,0.000,1,0.004,0.004,helpers.py:1(<module>)
12,0.000,0.000,12,0.000,0.000,datetime.py:461(__new__)
1,0.000,0.000,1,0.004,0.004,common.py:8(pyparsing_common)
29,0.000,0.000,29,0.001,0.000,core.py:262(_trim_arity)
84,0.000,0.000,84,0.006,0.000,__init__.py:2789(_get_version)
161,0.000,0.000,161,0.000,0.000,core.py:1711(set_whitespace_chars)
143,0.000,0.000,138,0.000,0.000,results.py:159(__init__)
44,0.000,0.000,44,0.000,0.000,<frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
237,0.000,0.000,237,0.000,0.000,random.py:366(randint)
48,0.000,0.000,48,0.000,0.000,core.py:4084(__init__)
592,0.000,0.000,592,0.000,0.000,inspect.py:2686(name)
259,0.000,0.000,259,0.000,0.000,typing.py:1242(__eq__)
2,0.000,0.000,2,0.002,0.001,optimized_curve.py:1(<module>)
24,0.000,0.000,24,0.000,0.000,typing.py:801(__init__)
6,0.000,0.000,6,0.000,0.000,numeric.py:2531(extend_all)
200,0.000,0.000,200,0.000,0.000,{built-in method builtins.hex}
1,0.000,0.000,1,0.001,0.001,numerictypes.py:1(<module>)
2,0.000,0.000,2,0.247,0.124,optimized_pairing.py:1(<module>)
298,0.000,0.000,298,0.000,0.000,core.py:4100(<genexpr>)
1,0.000,0.000,1,0.001,0.001,_add_newdocs.py:1(<module>)
2,0.000,0.000,2,0.000,0.000,unicode.py:55(_chars_for_ranges)
73,0.000,0.000,73,0.000,0.000,utils.py:43(deg)
100,0.000,0.000,100,0.000,0.000,arrayprint.py:739(_extendLine)
541,0.000,0.000,541,0.000,0.000,{method 'values' of 'mappingproxy' objects}
146,0.000,0.000,146,0.001,0.000,sre_parse.py:97(closegroup)
1,0.000,0.000,1,0.000,0.000,nanfunctions.py:1(<module>)
119,0.000,0.000,119,0.000,0.000,core.py:2266(__init__)
194,0.000,0.000,194,0.000,0.000,sre_compile.py:81(_combine_flags)
1,0.000,0.000,1,0.001,0.001,fromnumeric.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,defchararray.py:1(<module>)
16,0.000,0.000,16,0.000,0.000,core.py:2820(parseImpl)
165,0.000,0.000,165,0.000,0.000,core.py:1915(__eq__)
143,0.000,0.000,143,0.000,0.000,enum.py:22(_is_dunder)
329,0.000,0.000,329,0.000,0.000,<frozen importlib._bootstrap>:412(has_location)
1,0.000,0.000,1,0.001,0.001,markers.py:1(<module>)
648,0.000,0.000,648,0.000,0.000,{built-in method _sre.unicode_iscased}
36,0.000,0.000,36,0.000,0.000,getlimits.py:111(_float_to_str)
100,0.000,0.000,100,0.000,0.000,arrayprint.py:753(_extendLine_pretty)
24,0.000,0.000,24,0.003,0.000,ssbls12.py:31(__add__)
79,0.000,0.000,79,0.000,0.000,sre_parse.py:928(fix_flags)
1,0.000,0.000,1,0.029,0.029,requirements.py:1(<module>)
352,0.000,0.000,352,0.000,0.000,<frozen importlib._bootstrap_external>:1500(<genexpr>)
31,0.000,0.000,31,0.001,0.000,typing.py:1208(__getitem_inner__)
6,0.000,0.000,6,0.008,0.001,utils.py:1(<module>)
108,0.000,0.000,85,0.003,0.000,typing.py:401(__getitem__)
30,0.000,0.000,30,0.000,0.000,enum.py:590(_find_data_type)
101,0.000,0.000,101,0.000,0.000,{built-in method builtins.locals}
282,0.000,0.000,282,0.000,0.000,polynomial.py:64(leadingCoefficient)
335,0.000,0.000,335,0.000,0.000,inspect.py:606(getmro)
26,0.000,0.000,26,0.000,0.000,{method 'split' of 're.Pattern' objects}
1,0.000,0.000,1,0.000,0.000,{function SeedSequence.generate_state at 0x7f3e96edab90}
100,0.000,0.000,100,0.000,0.000,ssbls12.py:17(<lambda>)
98,0.000,0.000,98,0.000,0.000,functools.py:818(dispatch)
1,0.000,0.000,1,0.001,0.001,core.py:400(ParserElement)
4,0.000,0.000,4,0.000,0.000,getlimits.py:672(max)
25,0.000,0.000,25,0.001,0.000,core.py:675(<listcomp>)
24,0.000,0.000,24,0.000,0.000,_add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
2,0.000,0.000,2,0.002,0.001,babysnark.py:66(vanishing_poly)
44,0.000,0.000,38,0.012,0.000,<frozen importlib._bootstrap_external>:1182(exec_module)
158,0.000,0.000,158,0.000,0.000,sre_compile.py:619(isstring)
1,0.000,0.000,1,0.000,0.000,_datasource.py:74(_FileOpeners)
1,0.000,0.000,1,0.000,0.000,pathlib.py:945(Path)
27,0.000,0.000,27,0.000,0.000,core.py:2915(__init__)
26,0.000,0.000,26,0.000,0.000,core.py:6801(__init__)
3,0.000,0.000,3,0.003,0.001,polynomial.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,hermite.py:1658(Hermite)
143,0.000,0.000,143,0.000,0.000,enum.py:33(_is_sunder)
114,0.000,0.000,114,0.000,0.000,enum.py:12(_is_descriptor)
98,0.000,0.000,98,0.000,0.000,weakref.py:415(__getitem__)
27,0.000,0.000,13,0.006,0.000,core.py:4108(parseImpl)
146,0.000,0.000,134,0.000,0.000,core.py:3904(<genexpr>)
25,0.000,0.000,25,0.001,0.000,core.py:595(set_parse_action)
3,0.000,0.000,3,0.000,0.000,{built-in method builtins.dir}
79,0.000,0.000,79,0.000,0.000,sre_parse.py:76(__init__)
540,0.000,0.000,540,0.000,0.000,inspect.py:3005(parameters)
201,0.000,0.000,201,0.000,0.000,core.py:1868(streamline)
2,0.000,0.000,2,0.002,0.001,shape_base.py:1(<module>)
18,0.000,0.000,18,0.000,0.000,copyreg.py:109(_slotnames)
262,0.000,0.000,262,0.000,0.000,{method 'getrandbits' of '_random.Random' objects}
1,0.000,0.000,1,0.000,0.000,ctypeslib.py:373(<dictcomp>)
48,0.000,0.000,48,0.001,0.000,core.py:1526(__or__)
50,0.000,0.000,50,0.000,0.000,_internal.py:870(_ufunc_doc_signature_formatter)
444,0.000,0.000,444,0.000,0.000,typing.py:1737(cast)
32,0.000,0.000,9,0.002,0.000,core.py:4379(leave_whitespace)
1,0.000,0.000,1,0.001,0.001,more.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,scimath.py:1(<module>)
4,0.000,0.000,4,0.000,0.000,utils.py:50(poly_rounded_div)
1,0.000,0.000,1,0.000,0.000,operator.py:15(<dictcomp>)
94,0.000,0.000,94,0.000,0.000,{built-in method _imp.is_builtin}
1,0.000,0.000,1,0.000,0.000,datetime.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,linalg.py:1(<module>)
3,0.000,0.000,3,0.000,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,1,0.001,0.001,random.py:1(<module>)
11,0.000,0.000,11,0.000,0.000,enum.py:626(_find_new_)
1,0.000,0.000,1,0.000,0.000,hmac.py:1(<module>)
43,0.000,0.000,10,0.002,0.000,core.py:4409(streamline)
99,0.000,0.000,99,0.000,0.000,core.py:757(preParse)
1,0.000,0.000,1,0.000,0.000,_type_aliases.py:1(<module>)
472,0.000,0.000,472,0.000,0.000,inspect.py:2690(default)
340,0.000,0.000,340,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,1,0.001,0.001,npyio.py:1(<module>)
313,0.000,0.000,313,0.000,0.000,{built-in method sys.getrecursionlimit}
24,0.000,0.000,24,0.005,0.000,core.py:2984(parseImpl)
23,0.000,0.000,23,0.001,0.000,typing.py:523(Optional)
278,0.000,0.000,278,0.000,0.000,<frozen importlib._bootstrap_external>:1065(get_filename)
80,0.000,0.000,80,0.025,0.000,re.py:249(compile)
2,0.000,0.000,2,0.003,0.002,version.py:1(<module>)
11,0.000,0.000,11,0.000,0.000,enum.py:569(_check_for_existing_members)
31,0.000,0.000,31,0.000,0.000,typing.py:1188(copy_with)
508,0.000,0.000,508,0.000,0.000,{built-in method _sre.unicode_tolower}
173,0.000,0.000,173,0.000,0.000,{method 'partition' of 'str' objects}
130,0.000,0.000,130,0.000,0.000,typing.py:1234(<genexpr>)
746,0.000,0.000,746,0.000,0.000,{built-in method _operator.index}
1,0.000,0.000,1,0.000,0.000,quoprimime.py:55(<listcomp>)
107,0.000,0.000,107,0.000,0.000,re.py:187(match)
116,0.000,0.000,116,0.000,0.000,core.py:2333(_generateDefaultName)
1,0.000,0.000,1,0.001,0.001,quoprimime.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,pickle.py:1(<module>)
42,0.000,0.000,21,0.000,0.000,optimized_field_elements.py:169(__pow__)
1,0.000,0.000,1,0.000,0.000,twodim_base.py:1(<module>)
43,0.000,0.000,43,0.000,0.000,core.py:4147(_generateDefaultName)
58,0.000,0.000,58,0.001,0.000,core.py:3643(<listcomp>)
14,0.000,0.000,14,0.001,0.000,core.py:114(doc_note)
50,0.000,0.000,50,0.000,0.000,numbertype.py:64(__rsub__)
14,0.000,0.000,14,0.000,0.000,__init__.py:142(_check_size)
87,0.000,0.000,87,0.000,0.000,typing.py:223(_check_generic)
1,0.000,0.000,1,1.094,1.094,babysnark.py:193(babysnark_prover)
159,0.000,0.000,159,0.000,0.000,sre_compile.py:477(_get_iscased)
128,0.000,0.000,128,0.000,0.000,typing.py:1143(<genexpr>)
50,0.000,0.000,50,0.000,0.000,core.py:130(get_object_signature)
10,0.000,0.000,10,0.000,0.000,optimized_pairing.py:57(linefunc)
1,0.000,0.000,1,0.000,0.000,_add_newdocs_scalars.py:1(<module>)
24,0.000,0.000,12,0.008,0.001,field_elements.py:280(__pow__)
11,0.000,0.000,11,0.000,0.000,enum.py:165(__prepare__)
278,0.000,0.000,278,0.000,0.000,<frozen importlib._bootstrap_external>:874(create_module)
1,0.000,0.000,1,0.001,0.001,shutil.py:1(<module>)
80,0.000,0.000,80,0.000,0.000,ssbls12.py:20(__init__)
16,0.000,0.000,16,0.001,0.000,core.py:2791(_generateDefaultName)
34,0.000,0.000,34,0.000,0.000,core.py:2981(_generateDefaultName)
1,0.000,0.000,1,0.000,0.000,parse.py:1(<module>)
1,0.000,0.000,1,0.005,0.005,zipfile.py:1(<module>)
1,0.000,0.000,1,0.006,0.006,bn128_curve.py:1(<module>)
1,0.000,0.000,1,0.001,0.001,extras.py:1(<module>)
409,0.000,0.000,409,0.000,0.000,{built-in method builtins.globals}
26,0.000,0.000,26,0.000,0.000,core.py:6806(getdoc)
4,0.000,0.000,4,0.000,0.000,enum.py:1026(_decompose)
39,0.000,0.000,39,0.000,0.000,sre_parse.py:259(getwhile)
32,0.000,0.000,32,0.000,0.000,{method 'expandtabs' of 'str' objects}
12,0.000,0.000,12,0.001,0.000,__init__.py:2289(declare_namespace)
30,0.000,0.000,30,0.000,0.000,enum.py:579(_get_mixins_)
1,0.000,0.000,1,0.001,0.001,resources.py:1(<module>)
67,0.000,0.000,67,0.000,0.000,types.py:176(__get__)
7,0.000,0.000,7,0.002,0.000,enum.py:536(_convert_)
20,0.000,0.000,20,0.001,0.000,arrayprint.py:506(wrapper)
1,0.000,0.000,1,0.000,0.000,_string_helpers.py:9(<listcomp>)
1,0.000,0.000,1,1.716,1.716,babysnark.py:246(babysnark_verifier)
13,0.000,0.000,13,0.000,0.000,optimized_curve.py:59(is_inf)
41,0.000,0.000,41,0.000,0.000,_add_newdocs_scalars.py:62(<genexpr>)
12,0.000,0.000,6,0.006,0.001,optimized_field_elements.py:312(__div__)
1,0.000,0.000,1,0.909,0.909,babysnark.py:173(<listcomp>)
297,0.000,0.000,297,0.000,0.000,core.py:4098(<genexpr>)
33,0.000,0.000,33,0.000,0.000,{built-in method _codecs.utf_8_decode}
100,0.000,0.000,100,0.000,0.000,arrayprint.py:389(_object_format)
1,0.000,0.000,1,0.006,0.006,bls12_381_curve.py:1(<module>)
12,0.000,0.000,12,0.000,0.000,optimized_field_elements.py:371(<listcomp>)
1,0.000,0.000,1,0.000,0.000,babysnark.py:61(<listcomp>)
62,0.000,0.000,62,0.001,0.000,traceback.py:301(line)
6,0.000,0.000,6,0.003,0.001,optimized_field_elements.py:314(<listcomp>)
1,0.000,0.000,1,0.003,0.003,index_tricks.py:1(<module>)
18,0.000,0.000,18,0.000,0.000,results.py:200(__setitem__)
25,0.000,0.000,25,0.000,0.000,results.py:431(__iadd__)
52,0.000,0.000,52,0.000,0.000,exceptions.py:24(__init__)
44,0.000,0.000,44,0.000,0.000,core.py:1844(set_name)
1,0.000,0.000,1,0.000,0.000,_methods.py:1(<module>)
206,0.000,0.000,206,0.000,0.000,{method 'get' of 'mappingproxy' objects}
246,0.000,0.000,246,0.000,0.000,{method 'items' of 'dict' objects}
1,0.000,0.000,1,0.006,0.006,__init__.py:322(_sanity_check)
1,0.000,0.000,1,0.001,0.001,helpers.py:590(_makeTags)
1,0.000,0.000,1,0.000,0.000,secrets.py:1(<module>)
3,0.000,0.000,3,0.001,0.000,traceback.py:338(extract)
1,0.000,0.000,1,0.003,0.003,tags.py:1(<module>)
92,0.000,0.000,92,0.000,0.000,core.py:3819(<genexpr>)
1,0.000,0.000,1,0.000,0.000,umath.py:1(<module>)
75,0.000,0.000,75,0.000,0.000,signal.py:9(<lambda>)
1,0.000,0.000,1,0.000,0.000,_endian.py:1(<module>)
125,0.000,0.000,125,0.000,0.000,typing.py:705(__eq__)
174,0.000,0.000,174,0.000,0.000,core.py:3803(<genexpr>)
303,0.000,0.000,303,0.000,0.000,core.py:4099(<genexpr>)
1,0.000,0.000,1,0.002,0.002,pathlib.py:1(<module>)
204,0.000,0.000,204,0.000,0.000,polynomial.py:140(<genexpr>)
72,0.000,0.000,72,0.000,0.000,{method 'copy' of 'numpy.ndarray' objects}
1,0.000,0.000,1,0.000,0.000,unicode.py:111(<listcomp>)
14,0.000,0.000,14,0.000,0.000,hashlib.py:126(__get_openssl_constructor)
15,0.000,0.000,15,0.000,0.000,enum.py:980(__or__)
1,0.000,0.000,1,0.055,0.055,bn128_pairing.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,core.py:2703(MaskedArray)
1,0.000,0.000,1,0.001,0.001,type_check.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,threading.py:1(<module>)
56,0.000,0.000,56,0.000,0.000,traceback.py:288(__getitem__)
2,0.000,0.000,2,0.000,0.000,{built-in method _ctypes.POINTER}
25,0.000,0.000,25,0.000,0.000,typing.py:664(__init__)
20,0.000,0.000,20,0.000,0.000,typing.py:1083(copy_with)
1,0.000,0.000,1,0.001,0.001,signal.py:1(<module>)
38,0.000,0.000,38,0.000,0.000,field_elements.py:378(__init__)
21,0.000,0.000,21,0.001,0.000,core.py:2792(charsAsStr)
1,0.000,0.000,1,0.002,0.002,plistlib.py:1(<module>)
164,0.000,0.000,164,0.000,0.000,core.py:1700(leave_whitespace)
1,0.000,0.000,1,0.274,0.274,ciphersuites.py:1(<module>)
10,0.000,0.000,10,0.000,0.000,os.py:675(__getitem__)
1,0.000,0.000,1,0.085,0.085,bls12_381_pairing.py:1(<module>)
2,0.000,0.000,2,0.000,0.000,typing.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,sysconfig.py:1(<module>)
1,0.000,0.000,1,0.010,0.010,specifiers.py:1(<module>)
4,0.000,0.000,4,0.002,0.000,exceptions.py:1(<module>)
11,0.000,0.000,11,0.000,0.000,{method 'sort' of 'list' objects}
10,0.000,0.000,3,0.000,0.000,unicode.py:14(__get__)
1,0.000,0.000,1,0.000,0.000,encoder.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,pickle.py:197(<listcomp>)
1,0.000,0.000,1,0.014,0.014,applicators.py:1(<module>)
2,0.000,0.000,2,0.000,0.000,abc.py:1(<module>)
2,0.000,0.000,2,0.046,0.023,constants.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,_pocketfft.py:1(<module>)
1,0.000,0.000,1,0.000,0.000,helpers.py:1061(<listcomp>)
1,0.000,0.000,1,0.002,0.002,subprocess.py:1(<module>)
26,0.000,0.000,26,0.000,0.000,core.py:4948(__init__)
16,0.000,0.000,16,0.000,0.000,_type_aliases.py:58(bitname)
23,0.000,0.000,23,0.000,0.000,field_elements.py:132(__rdiv__)
22,0.000,0.000,22,0.000,0.000,__init__.py:1986(find_distributions)
1,0.000,0.000,1,0.001,0.001,_internal.py:1(<module>)
93,0.000,0.000,93,0.000,0.000,_inspect.py:131(strseq)
1,0.000,0.000,1,0.001,0.001,core.py:5798(<listcomp>)
10,0.000,0.000,10,0.000,0.000,sre_compile.py:440(_bytes_to_codes)
1,0.000,0.000,1,0.014,0.014,functional.py:1(<module>)
38,0.000,0.000,38,0.000,0.000,{built-in method _abc._abc_register}
1,0.000,0.000,1,0.841,0.841,babysnark.py:150(<listcomp>)
12,0.000,0.000,12,0.000,0.000,__init__.py:2362(normalize_path)
1,0.000,0.000,1,0.004,0.004,common.py:1(<module>)
257,0.000,0.000,257,0.000,0.000,hmac.py:19(<genexpr>)
1,0.000,0.000,1,0.005,0.005,platform.py:1(<module>)
4,0.000,0.000,4,0.000,0.000,typing.py:2267(__new__)
2,0.000,0.000,2,0.000,0.000,recipes.py:1(<module>)
14,0.000,0.000,14,0.000,0.000,core.py:8154(getdoc)
8,0.000,0.000,8,0.000,0.000,core.py:4972(_generateDefaultName)
15,0.000,0.000,15,0.000,0.000,sre_compile.py:456(_generate_overlap_table)
1,0.000,0.000,1,0.185,0.185,optimized_pairing.py:161(<listcomp>)
30,0.000,0.000,16,0.006,0.000,core.py:4373(parseImpl)
81,0.000,0.000,81,0.000,0.000,overrides.py:121(decorator)
13,0.000,0.000,13,0.000,0.000,_dtype_ctypes.py:100(dtype_from_ctypes_type)
33,0.000,0.000,33,0.000,0.000,codecs.py:319(decode)
257,0.000,0.000,257,0.000,0.000,hmac.py:20(<genexpr>)
1,0.000,0.000,1,0.001,0.001,conversions.py:1(<module>)
20,0.000,0.000,20,0.000,0.000,__init__.py:2402(_is_unpacked_egg)
71,0.000,0.000,71,0.000,0.000,typing.py:1217(<genexpr>)
142,0.000,0.000,142,0.000,0.000,core.py:4087(<genexpr>)
81,0.000,0.000,81,0.000,0.000,overrides.py:110(set_module)
1,0.000,0.000,1,0.001,0.001,hashlib.py:1(<module>)
170,0.000,0.000,170,0.000,0.000,util.py:196(escape_re_range_char)
36,0.000,0.000,36,0.000,0.000,getlimits.py:24(_fr1)
1,0.000,0.000,1,0.010,0.010,overrides.py:1(<module>)
8,0.000,0.000,4,0.005,0.001,functools.py:961(__get__)
1,0.000,0.000,1,0.000,0.000,getlimits.py:1(<module>)
84,0.000,0.000,84,0.000,0.000,__init__.py:402(<genexpr>)
61,0.000,0.000,61,0.000,0.000,_inspect.py:144(<lambda>)
