total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
11656,0.002,0.000,11656,0.004,0.000,sre_parse.py:255(get)
5,0.002,0.000,5,1.863,0.373,optimized_pairing.py:111(miller_loop)
9242,0.002,0.000,9242,0.002,0.000,{built-in method builtins.getattr}
12140,0.002,0.000,12140,0.002,0.000,version.py:271(<genexpr>)
928,0.002,0.000,928,0.004,0.000,version.py:293(__str__)
10542,0.002,0.000,10542,0.002,0.000,polynomial.py:60(__iter__)
8927,0.002,0.000,8927,0.011,0.000,<frozen importlib._bootstrap_external>:140(_path_stat)
2734,0.002,0.000,2734,0.004,0.000,polynomial.py:10(strip)
373,0.002,0.000,373,0.002,0.000,{method 'read' of '_io.BufferedReader' objects}
951,0.002,0.000,951,0.034,0.000,polynomial.py:77(<listcomp>)
40372,0.002,0.000,40372,0.002,0.000,{built-in method builtins.abs}
13541,0.002,0.000,13541,0.002,0.000,{method 'startswith' of 'str' objects}
278,0.002,0.000,278,0.002,0.000,{built-in method io.open_code}
44,0.002,0.000,38,0.012,0.000,{built-in method _imp.exec_dynamic}
7226,0.002,0.000,7226,0.004,0.000,optimized_field_elements.py:215(one)
727,0.001,0.000,727,0.003,0.000,polynomial.py:86(<listcomp>)
458,0.001,0.000,458,0.032,0.000,bls12_381_curve.py:86(add)
7252,0.001,0.000,7252,0.004,0.000,optimized_field_elements.py:219(zero)
13083,0.001,0.000,13083,0.001,0.000,version.py:393(_parse_letter_version)
339,0.001,0.000,339,0.016,0.000,<frozen importlib._bootstrap>:921(_find_spec)
1545,0.001,0.000,180,0.002,0.000,{built-in method _abc._abc_subclasscheck}
1243,0.001,0.000,1243,0.002,0.000,posixpath.py:150(dirname)
351,0.001,0.000,351,0.009,0.000,optimized_curve.py:87(add)
8478,0.001,0.000,8478,0.002,0.000,posixpath.py:41(_get_sep)
8911,0.001,0.000,8911,0.001,0.000,<frozen importlib._bootstrap>:244(_verbose_message)
5869,0.001,0.000,5869,0.010,0.000,<frozen importlib._bootstrap_external>:159(_path_isfile)
